Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-MAY-2025,24694.45,25116.25,24494.45,25062.1,500821889,44147.39
16-MAY-2025,25064.65,25070,24953.05,25019.8,432717092,43815.86
19-MAY-2025,25005.35,25062.95,24916.65,24945.45,255254340,21598.6
20-MAY-2025,24996.2,25010.35,24669.7,24683.9,414799113,31063.03
21-MAY-2025,24744.25,24946.2,24685.35,24813.45,332724952,23179.85
22-MAY-2025,24733.95,24737.5,24462.4,24609.7,403279638,30579.52
23-MAY-2025,24639.5,24909.05,24614.05,24853.15,270470348,20200.73
26-MAY-2025,24919.35,25079.2,24900.5,25001.15,302799227,20060.68
27-MAY-2025,24956.65,25062.9,24704.1,24826.2,525653668,33638.3
28-MAY-2025,24832.5,24864.25,24737.05,24752.45,684425321,37143.55
29-MAY-2025,24825.1,24892.6,24677.3,24833.6,345370611,29730.05
30-MAY-2025,24812.6,24863.95,24717.4,24750.7,853890978,52247.87
02-JUN-2025,24669.7,24754.4,24526.15,24716.6,311100908,25091.04
03-JUN-2025,24786.3,24845.1,24502.15,24542.5,349288937,28906.4
04-JUN-2025,24560.45,24644.25,24530.45,24620.2,280862575,21907.07
05-JUN-2025,24691.2,24899.85,24613.1,24750.9,388405978,30186.46
06-JUN-2025,24748.7,25029.5,24671.45,25003.05,335581057,30041.71
09-JUN-2025,25160.1,25160.1,25077.15,25103.2,279219989,25606.21
10-JUN-2025,25196.05,25199.3,25055.45,25104.25,307323471,28813.93
11-JUN-2025,25134.15,25222.4,25081.3,25141.4,301245273,25871.18
12-JUN-2025,25164.45,25196.2,24825.9,24888.2,328310748,29573.27
13-JUN-2025,24473,24754.35,24473,24718.6,318711364,24838.56
16-JUN-2025,24732.35,24967.1,24703.6,24946.5,305813047,23857.15
17-JUN-2025,24977.85,24982.05,24813.7,24853.4,242415740,21818.05
18-JUN-2025,24788.35,24947.55,24750.45,24812.05,237599011,22044.05
19-JUN-2025,24803.25,24863.1,24733.4,24793.25,274619935,23620.79
20-JUN-2025,24787.65,25136.2,24783.65,25112.4,574654035,55782.03
23-JUN-2025,24939.75,25057,24824.85,24971.9,248534153,20797.88
24-JUN-2025,25179.9,25317.7,24999.7,25044.35,450185468,35508.9
25-JUN-2025,25150.35,25266.8,25125.05,25244.75,260582584,22985.17
26-JUN-2025,25268.95,25565.3,25259.9,25549,428891818,38689.39
27-JUN-2025,25576.65,25654.2,25523.55,25637.8,563957748,47108.6
30-JUN-2025,25661.65,25669.35,25473.3,25517.05,270981274,24673.48
01-JUL-2025,25551.35,25593.4,25501.8,25541.8,260669106,23921.02
02-JUL-2025,25588.3,25608.1,25378.75,25453.4,309828013,26681.66
03-JUL-2025,25505.1,25587.5,25384.35,25405.3,293428797,24531.7
04-JUL-2025,25428.85,25470.25,25331.65,25461,193511595,19101.33
07-JUL-2025,25450.45,25489.8,25407.25,25461.3,196051345,16923.26
08-JUL-2025,25427.85,25548.05,25424.15,25522.5,210410530,21947.32
09-JUL-2025,25514.6,25548.7,25424.35,25476.1,239081546,20549.5
10-JUL-2025,25511.65,25524.05,25340.45,25355.25,219609322,21435.36
11-JUL-2025,25255.5,25322.45,25129,25149.85,249987681,26251.65
14-JUL-2025,25149.5,25151.1,25001.95,25082.3,259533624,23316.33
15-JUL-2025,25089.5,25245.2,25088.45,25195.8,241340130,23282.7
16-JUL-2025,25196.6,25255.3,25121.05,25212.05,228815928,22254.54
17-JUL-2025,25230.75,25238.35,25101,25111.45,243412540,24715.35
18-JUL-2025,25108.55,25144.6,24918.65,24968.4,316979826,26330.8
21-JUL-2025,24999,25111.4,24882.3,25090.7,305216414,26062.25
22-JUL-2025,25166.65,25182,25035.55,25060.9,483725120,31248.06
23-JUL-2025,25139.35,25233.5,25085.5,25219.9,271539651,23042.49
24-JUL-2025,25243.3,25246.25,25018.7,25062.1,338728860,27433.34
25-JUL-2025,25010.35,25010.35,24806.35,24837,278136104,25273.64
28-JUL-2025,24782.45,24889.2,24646.6,24680.9,262142969,24976.54
29-JUL-2025,24609.65,24847.15,24598.6,24821.1,284657235,25954.42
30-JUL-2025,24890.4,24902.3,24771.95,24855.05,243886726,23525.25
31-JUL-2025,24642.25,24956.5,24635,24768.35,346303628,30477.71
01-AUG-2025,24734.9,24784.15,24535.05,24565.35,263357194,24972.45
04-AUG-2025,24596.05,24736.25,24554,24722.75,259329477,20372.68
05-AUG-2025,24720.25,24733.1,24590.3,24649.55,251849778,23815.36
06-AUG-2025,24641.35,24671.4,24539.2,24574.2,225091071,20559.22
07-AUG-2025,24464.2,24634.2,24344.15,24596.15,616739190,35574.59
08-AUG-2025,24544.25,24585.5,24337.5,24363.3,312630157,38135.74
11-AUG-2025,24371.5,24600.85,24347.45,24585.05,241145497,21081.61
12-AUG-2025,24563.35,24702.6,24465.65,24487.4,237002462,22258.29
13-AUG-2025,24586.2,24664.55,24535.25,24619.35,236006791,22843.14
14-AUG-2025,24607.25,24673.65,24596.9,24631.3,270162203,22375.44